"C02451V02968","County","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"07","Louth","2005","2005","ROA20C4","Killed Casualties","Number","14"
"07","Louth","2005","2005","ROA20C5","Injured Casualties","Number","367"
"07","Louth","2005","2005","ROA20C6","All Killed and Injured Casualties","Number","381"
"07","Louth","2006","2006","ROA20C1","Fatal Collisions","Number","13"
"07","Louth","2006","2006","ROA20C2","Injury Collisions","Number","199"
"07","Louth","2006","2006","ROA20C3","All Fatal and Injury Collisions","Number","212"
"07","Louth","2006","2006","ROA20C4","Killed Casualties","Number","14"
"07","Louth","2006","2006","ROA20C5","Injured Casualties","Number","308"
"07","Louth","2006","2006","ROA20C6","All Killed and Injured Casualties","Number","322"
"07","Louth","2007","2007","ROA20C1","Fatal Collisions","Number","15"
"07","Louth","2007","2007","ROA20C2","Injury Collisions","Number","245"
"07","Louth","2007","2007","ROA20C3","All Fatal and Injury Collisions","Number","260"
"07","Louth","2007","2007","ROA20C4","Killed Casualties","Number","16"
"07","Louth","2007","2007","ROA20C5","Injured Casualties","Number","368"
"07","Louth","2007","2007","ROA20C6","All Killed and Injured Casualties","Number","384"
"07","Louth","2008","2008","ROA20C1","Fatal Collisions","Number","7"
"07","Louth","2008","2008","ROA20C2","Injury Collisions","Number","264"
"07","Louth","2008","2008","ROA20C3","All Fatal and Injury Collisions","Number","271"
"07","Louth","2008","2008","ROA20C4","Killed Casualties","Number","7"
"07","Louth","2008","2008","ROA20C5","Injured Casualties","Number","405"
"07","Louth","2008","2008","ROA20C6","All Killed and Injured Casualties","Number","412"
"07","Louth","2009","2009","ROA20C1","Fatal Collisions","Number","5"
"07","Louth","2009","2009","ROA20C2","Injury Collisions","Number","271"
"07","Louth","2009","2009","ROA20C3","All Fatal and Injury Collisions","Number","276"
"07","Louth","2009","2009","ROA20C4","Killed Casualties","Number","5"
"07","Louth","2009","2009","ROA20C5","Injured Casualties","Number","467"
"07","Louth","2009","2009","ROA20C6","All Killed and Injured Casualties","Number","472"
"07","Louth","2010","2010","ROA20C1","Fatal Collisions","Number","7"
"07","Louth","2010","2010","ROA20C2","Injury Collisions","Number","197"
"07","Louth","2010","2010","ROA20C3","All Fatal and Injury Collisions","Number","204"
"07","Louth","2010","2010","ROA20C4","Killed Casualties","Number","8"
